"NEW.ID","CID","GROUP","BGD.MORALITY","BGD.TOTAL","BGD.SPECCODE","BGD.MORPROP","BGD.MORVIRTPROP","BGD.SPECPROP","RAG.ORDER","RAG.CHECK","DG.ORDER","DG.CHECK","CHILDREN","MAT","DIEPUN","OMNI.BG","MORINDEX","TYPE","SELF","RAG","Y"
1129,1822,"Hadza",NA,NA,NA,NA,NA,NA,0,NA,0,NA,9,1,0,1,NA,"RAG.SELF",1,1,NA
1129,1822,"Hadza",NA,NA,NA,NA,NA,NA,0,NA,0,NA,9,1,0,1,NA,"DG.LOCAL",0,0,5
1129,1822,"Hadza",NA,NA,NA,NA,NA,NA,0,NA,0,NA,9,1,0,1,NA,"DG.SELF",1,0,5
1130,1732,"Hadza",NA,NA,NA,NA,NA,NA,0,NA,0,NA,1,0,1,1,NA,"RAG.LOCAL",0,1,NA
1130,1732,"Hadza",NA,NA,NA,NA,NA,NA,0,NA,0,NA,1,0,1,1,NA,"RAG.SELF",1,1,NA
1130,1732,"Hadza",NA,NA,NA,NA,NA,NA,0,NA,0,NA,1,0,1,1,NA,"DG.LOCAL",0,0,0
1130,1732,"Hadza",NA,NA,NA,NA,NA,NA,0,NA,0,NA,1,0,1,1,NA,"DG.SELF",1,0,0
1131,1983,"Lovu Fiji",2,2,1,1,1,0.5,1,0,0,NA,1,0,1,1,2.33333333333333,"RAG.LOCAL",0,1,15
1131,1983,"Lovu Fiji",2,2,1,1,1,0.5,1,0,0,NA,1,0,1,1,2.33333333333333,"RAG.SELF",1,1,15
1131,1983,"Lovu Fiji",2,2,1,1,1,0.5,1,0,0,NA,1,0,1,1,2.33333333333333,"DG.LOCAL",0,0,NA
1131,1983,"Lovu Fiji",2,2,1,1,1,0.5,1,0,0,NA,1,0,1,1,2.33333333333333,"DG.SELF",1,0,NA
1132,330,"Sursurunga",2,5,2,0.4,0.8,0.4,1,0,0,NA,2,0,1,1,2,"RAG.LOCAL",0,1,16
1132,330,"Sursurunga",2,5,2,0.4,0.8,0.4,1,0,0,NA,2,0,1,1,2,"RAG.SELF",1,1,13
1132,330,"Sursurunga",2,5,2,0.4,0.8,0.4,1,0,0,NA,2,0,1,1,2,"DG.LOCAL",0,0,NA
1132,330,"Sursurunga",2,5,2,0.4,0.8,0.4,1,0,0,NA,2,0,1,1,2,"DG.SELF",1,0,NA
1133,501,"Turkana",4,5,1,0.8,0.8,0.2,0,0,0,NA,0,1,1,1,1.66666666666667,"RAG.LOCAL",0,1,10
1133,501,"Turkana",4,5,1,0.8,0.8,0.2,0,0,0,NA,0,1,1,1,1.66666666666667,"RAG.SELF",1,1,9
1133,501,"Turkana",4,5,1,0.8,0.8,0.2,0,0,0,NA,0,1,1,1,1.66666666666667,"DG.LOCAL",0,0,NA
1133,501,"Turkana",4,5,1,0.8,0.8,0.2,0,0,0,NA,0,1,1,1,1.66666666666667,"DG.SELF",1,0,NA
1134,NA,"China-Christians",1,5,2,0.2,0.8,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RAG.LOCAL",0,1,NA
1134,NA,"China-Christians",1,5,2,0.2,0.8,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RAG.SELF",1,1,NA
1134,NA,"China-Christians",1,5,2,0.2,0.8,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DG.LOCAL",0,0,NA
1134,NA,"China-Christians",1,5,2,0.2,0.8,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DG.SELF",1,0,NA
1135,NA,"China-Christians",2,5,1,0.4,0.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RAG.LOCAL",0,1,NA
1135,NA,"China-Christians",2,5,1,0.4,0.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RAG.SELF",1,1,NA
1135,NA,"China-Christians",2,5,1,0.4,0.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DG.LOCAL",0,0,NA
1135,NA,"China-Christians",2,5,1,0.4,0.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DG.SELF",1,0,NA
1136,NA,"China-Christians",3,5,2,0.6,0.8,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RAG.LOCAL",0,1,NA
1136,NA,"China-Christians",3,5,2,0.6,0.8,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RAG.SELF",1,1,NA
1136,NA,"China-Christians",3,5,2,0.6,0.8,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DG.LOCAL",0,0,NA
1136,NA,"China-Christians",3,5,2,0.6,0.8,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DG.SELF",1,0,NA
1137,1733,"Hadza",0,1,0,0,0,0,1,NA,1,NA,5,1,NA,0,NA,"RAG.LOCAL",0,1,14
1137,1733,"Hadza",0,1,0,0,0,0,1,NA,1,NA,5,1,NA,0,NA,"RAG.SELF",1,1,14
1137,1733,"Hadza",0,1,0,0,0,0,1,NA,1,NA,5,1,NA,0,NA,"DG.LOCAL",0,0,0
1137,1733,"Hadza",0,1,0,0,0,0,1,NA,1,NA,5,1,NA,0,NA,"DG.SELF",1,0,0
1138,1984,"Lovu Fiji",2,3,1,0.666666666666667,1,0.333333333333333,0,0,0,NA,1,1,1,1,3.33333333333333,"RAG.LOCAL",0,1,11
1138,1984,"Lovu Fiji",2,3,1,0.666666666666667,1,0.333333333333333,0,0,0,NA,1,1,1,1,3.33333333333333,"RAG.SELF",1,1,16
1138,1984,"Lovu Fiji",2,3,1,0.666666666666667,1,0.333333333333333,0,0,0,NA,1,1,1,1,3.33333333333333,"DG.LOCAL",0,0,NA
1138,1984,"Lovu Fiji",2,3,1,0.666666666666667,1,0.333333333333333,0,0,0,NA,1,1,1,1,3.33333333333333,"DG.SELF",1,0,NA
1139,331,"Sursurunga",1,5,1,0.2,0.8,0.2,0,0,0,NA,0,1,1,1,2,"RAG.LOCAL",0,1,13
1139,331,"Sursurunga",1,5,1,0.2,0.8,0.2,0,0,0,NA,0,1,1,1,2,"RAG.SELF",1,1,14
1139,331,"Sursurunga",1,5,1,0.2,0.8,0.2,0,0,0,NA,0,1,1,1,2,"DG.LOCAL",0,0,NA
1139,331,"Sursurunga",1,5,1,0.2,0.8,0.2,0,0,0,NA,0,1,1,1,2,"DG.SELF",1,0,NA
