"NEW.ID","CID","GROUP","BGD.MORALITY","BGD.TOTAL","BGD.SPECCODE","BGD.MORPROP","BGD.MORVIRTPROP","BGD.SPECPROP","RAG.ORDER","RAG.CHECK","DG.ORDER","DG.CHECK","CHILDREN","MAT","DIEPUN","OMNI.BG","MORINDEX","TYPE","SELF","RAG","Y"
1029,1966,"Lovu Fiji",2,3,1,0.666666666666667,0.666666666666667,0.333333333333333,1,0,0,NA,1,1,1,1,3.33333333333333,"DG.LOCAL",0,0,NA
1029,1966,"Lovu Fiji",2,3,1,0.666666666666667,0.666666666666667,0.333333333333333,1,0,0,NA,1,1,1,1,3.33333333333333,"DG.SELF",1,0,NA
1030,488,"Turkana",5,5,1,1,1,0.2,1,0,0,NA,4,0,1,1,2.66666666666667,"RAG.LOCAL",0,1,15
1030,488,"Turkana",5,5,1,1,1,0.2,1,0,0,NA,4,0,1,1,2.66666666666667,"RAG.SELF",1,1,20
1030,488,"Turkana",5,5,1,1,1,0.2,1,0,0,NA,4,0,1,1,2.66666666666667,"DG.LOCAL",0,0,NA
1030,488,"Turkana",5,5,1,1,1,0.2,1,0,0,NA,4,0,1,1,2.66666666666667,"DG.SELF",1,0,NA
1031,NA,"China-Buddhists",0,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RAG.LOCAL",0,1,NA
1031,NA,"China-Buddhists",0,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RAG.SELF",1,1,NA
1031,NA,"China-Buddhists",0,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DG.LOCAL",0,0,NA
1031,NA,"China-Buddhists",0,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DG.SELF",1,0,NA
1032,NA,"Lovu Fiji",2,3,2,0.666666666666667,0.666666666666667,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RAG.LOCAL",0,1,NA
1032,NA,"Lovu Fiji",2,3,2,0.666666666666667,0.666666666666667,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RAG.SELF",1,1,NA
1032,NA,"Lovu Fiji",2,3,2,0.666666666666667,0.666666666666667,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DG.LOCAL",0,0,NA
1032,NA,"Lovu Fiji",2,3,2,0.666666666666667,0.666666666666667,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DG.SELF",1,0,NA
1033,NA,"Sursurunga",3,5,1,0.6,0.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RAG.LOCAL",0,1,NA
1033,NA,"Sursurunga",3,5,1,0.6,0.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RAG.SELF",1,1,NA
1033,NA,"Sursurunga",3,5,1,0.6,0.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DG.LOCAL",0,0,NA
1033,NA,"Sursurunga",3,5,1,0.6,0.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DG.SELF",1,0,NA
1034,457,"Turkana",3,5,1,0.6,0.6,0.2,1,0,0,NA,8,0,1,1,2.33333333333333,"RAG.LOCAL",0,1,0
1034,457,"Turkana",3,5,1,0.6,0.6,0.2,1,0,0,NA,8,0,1,1,2.33333333333333,"RAG.SELF",1,1,15
1034,457,"Turkana",3,5,1,0.6,0.6,0.2,1,0,0,NA,8,0,1,1,2.33333333333333,"DG.LOCAL",0,0,NA
