CULTURE;LOCID;ORDER;BGD;BGD_GEN_AO;BGD_GEN_CS;BGD_GEN_AO_TB;BGD_GEN_CS_TB;DIS_BGD;BGD_GEN_TB;DIS_BGD_GEN_TB;BGD_SPEC_AO;BGD_SPEC_CS;;;;;;;;;;;;;;;;;;;;;
Turkana;59;4;dislike curses from parents ;morality;specific;morality;specific;1;specific;0;bewitching;swearing;;;;;;;;;;;;;;;;;;;;;
Turkana;249;2;dislike witchcraft ;morality;specific;morality;specific;1;specific;0;witchcraft;witching;;;;;;;;;;;;;;;;;;;;;
Turkana;181;4;dislike gossip ;morality;etiquette;morality;etiquette;1;morality;0;gossip;gossip;;;;;;;;;;;;;;;;;;;;;
Turkana;171;4;dislike arrogancy ;virtue;virtue;virtue;virtue;0;virtue;0;arrogance;arrogance;;;;;;;;;;;;;;;;;;;;;
Turkana;13;1;killing people;morality;morality;morality;morality;0;morality;0;killing;murder;;;;;;;;;;;;;;;;;;;;;
Turkana;70;4;dislike stealing ;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Turkana;228;4;dislike envious person;virtue;virtue;virtue;virtue;0;virtue;0;envy;jealousy;;;;;;;;;;;;;;;;;;;;;
Turkana;202;4;dislike cursing others ;morality;specific;morality;specific;1;specific;0;bewitching;witching;;;;;;;;;;;;;;;;;;;;;
Turkana;168;1;dislike witchcraft ;morality;specific;morality;specific;1;specific;0;witchcraft;witching;;;;;;;;;;;;;;;;;;;;;
Turkana;294;1;dislike stealing ;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Turkana;51;3;killing people;morality;morality;morality;morality;0;morality;0;killing;murder;;;;;;;;;;;;;;;;;;;;;
Turkana;276;1;dislike people to be-witched others ;morality;specific;morality;specific;1;specific;0;bewitching;witching;;;;;;;;;;;;;;;;;;;;;
Samburu;2850102;1;sin;morality;morality;morality;morality;0;morality;0;sinning;sin;;;;;;;;;;;;;;;;;;;;;
Congo;1034;4;drunkenness;substance use/abuse;substance use;substance use/abuse;substance use/abuse;0;substance use/abuse;0;drunkenness;alcohol;;;;;;;;;;;;;;;;;;;;;
Congo;1046;1;adultery;morality;morality;morality;morality;0;morality;0;adultery;adultery;;;;;;;;;;;;;;;;;;;;;
Congo;1131;4;poverty;people;people;people;people;0;people;0;poverty;poverty;;;;;;;;;;;;;;;;;;;;;
Sursurunga;115;2;anger;virtue;virtue;virtue;virtue;0;virtue;0;anger;anger;;;;;;;;;;;;;;;;;;;;;
Turkana;140;5;dislikes those who do not obey his word.;morality;morality;morality;religion;1;religion;0;disobedience;worship.n;;;;;;;;;;;;;;;;;;;;;
Turkana;308;4;abortion;morality;morality;morality;morality;0;morality;0;abortion;abort;;;;;;;;;;;;;;;;;;;;;
Turkana;89;1;dislike people who steal from their  neighbours;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Turkana;64;5;dislike fighting ;morality;morality;morality;morality;0;morality;0;violence;violence;;;;;;;;;;;;;;;;;;;;;
Turkana;227;3;dislike people to smear themselves with ochre ;specific;specific;ritual;specific;1;ritual;0;smearing ochre;ochre smearing;;;;;;;;;;;;;;;;;;;;;
Turkana;297;5;dislike people to worship idols/local God ;ritual;ritual;ritual;ritual;0;ritual;0;idolatry;idolatry;;;;;;;;;;;;;;;;;;;;;
Mauritius;DN1477;4;NA;NA;NA;NA;NA;0;NA;0;NA;NA;;;;;;;;;;;;;;;;;;;;;
Mauritius;DN1524;2;bad thoughts;virtue;virtue;virtue;virtue;0;virtue;0;evil;good actions.n;;;;;;;;;;;;;;;;;;;;;
Congo;1176;4;trouble;morality;morality;people;people;0;people;0;disorder;troubles;;;;;;;;;;;;;;;;;;;;;
Congo;1067;4;stealing;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Congo;1079;4;stealing;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Congo;1194;2;adultery;morality;morality;morality;morality;0;morality;0;adultery;adultery;;;;;;;;;;;;;;;;;;;;;
Congo;1132;2;committing fetishes;ritual;virtue;ritual;virtue;1;ritual;0;idolatry;fetish;;;;;;;;;;;;;;;;;;;;;
Congo;1153;5;gossip;morality;etiquette;morality;etiquette;1;morality;0;gossip;gossip;;;;;;;;;;;;;;;;;;;;;
Mauritius;DS1971;2;bad deeds/actions;morality;morality;morality;morality;0;morality;0;immoral behaviour;good actions.n;;;;;;;;;;;;;;;;;;;;;
Mauritius;DS1412;2;welfare of people;people;people;people;people;0;people;0;health;wellbeing;;;;;;;;;;;;;;;;;;;;;
Peru;1161;3;Thieves;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Congo;1107;1;stealing;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Mauritius;DS1908;2;liars;morality;morality;morality;morality;0;morality;0;dishonesty;truthfulness.n;;;;;;;;;;;;;;;;;;;;;
Mauritius;DS1715;1;demons;miscellaneous;specific;specific;specific;0;specific;0;demons;demon;;;;;;;;;;;;;;;;;;;;;
Mysore;B72;3;fraud;morality;morality;morality;morality;0;morality;0;dishonesty;truthfulness.n;;;;;;;;;;;;;;;;;;;;;
Congo;1140;1;lying;morality;morality;morality;morality;0;morality;0;dishonesty;truthfulness.n;;;;;;;;;;;;;;;;;;;;;
Congo;1169;5;immorality;virtue;morality;virtue;morality;1;morality;0;immoral behaviour;good actions.n;;;;;;;;;;;;;;;;;;;;;
Samburu;2080102;2;if you dislike animals;virtue;ecology;ecology;etiquette;1;ecology;0;disliking animals;miscellaneous;;;;;;;;;;;;;;;;;;;;;
Sursurunga;65;1;swearing;etiquette;etiquette;etiquette;virtue;1;etiquette;0;swearing;swearing;;;;;;;;;;;;;;;;;;;;;
Samburu;2120101;1;if you do bad things;morality;morality;morality;morality;0;morality;0;immoral behaviour;good actions.n;;;;;;;;;;;;;;;;;;;;;
Samburu;2290102;4;envy;virtue;virtue;virtue;morality;1;virtue;0;envy;jealousy;;;;;;;;;;;;;;;;;;;;;
Samburu;2140102;1;bad things;miscellaneous;miscellaneous;miscellaneous;morality;1;miscellaneous;0;evil;miscellaneous;;;;;;;;;;;;;;;;;;;;;
Turkana;268;1;stealing ;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Turkana;2;4;dislike murder;morality;morality;morality;morality;0;morality;0;killing;murder;;;;;;;;;;;;;;;;;;;;;
Mauritius;DR1683;1;sinners;morality;morality;morality;morality;0;morality;0;sinning;sin;;;;;;;;;;;;;;;;;;;;;
Turkana;18;5;Dislikes murderers;morality;morality;morality;morality;0;morality;0;killing;murder;;;;;;;;;;;;;;;;;;;;;
Mauritius;DR1809;3;NA;NA;NA;NA;NA;0;NA;0;NA;NA;;;;;;;;;;;;;;;;;;;;;
Samburu;2980104;3;hating others;virtue;virtue;virtue;morality;1;virtue;0;antagonism;hate;;;;;;;;;;;;;;;;;;;;;
Samburu;2630102;3;drunkenness;substance use/abuse;substance use;substance use/abuse;virtue;1;substance use/abuse;0;drunkenness;alcohol;;;;;;;;;;;;;;;;;;;;;
Samburu;2630102;2;infidelity;morality;morality;morality;morality;0;morality;0;adultery;adultery;;;;;;;;;;;;;;;;;;;;;
Turkana;288;4;dislike someone who lie others ;morality;morality;morality;morality;0;morality;0;dishonesty;truthfulness.n;;;;;;;;;;;;;;;;;;;;;
Turkana;288;1;dislike people who curse others ;morality;specific;morality;specific;1;specific;0;bewitching;witching;;;;;;;;;;;;;;;;;;;;;
Turkana;226;3;dislike people who be-witch someone's property;morality;specific;morality;specific;1;specific;0;bewitching;witching;;;;;;;;;;;;;;;;;;;;;
Samburu;2980104;4;violence;morality;morality;morality;morality;0;morality;0;violence;violence;;;;;;;;;;;;;;;;;;;;;
Turkana;327;4;dislike people who mistreat disabled;morality;morality;morality;morality;0;morality;0;mistreatment;mistreating others;;;;;;;;;;;;;;;;;;;;;
Turkana;198;2;dislike murder ;morality;morality;morality;morality;0;morality;0;killing;murder;;;;;;;;;;;;;;;;;;;;;
Turkana;215;1;children who do not obey their  parents;morality;morality;morality;morality;0;morality;0;disrespecting family;respect.n;;;;;;;;;;;;;;;;;;;;;
Turkana;100;1;dislike stealing ;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Turkana;239;3;dislike witchcraft;morality;specific;morality;specific;1;specific;0;witchcraft;witching;;;;;;;;;;;;;;;;;;;;;
Turkana;190;1;abusing ;morality;morality;morality;morality;0;morality;0;mistreatment;mistreating others;;;;;;;;;;;;;;;;;;;;;
Turkana;62;4;dislike being against his words or teachings;religion;religion;religion;religion;0;religion;0;disbelief;worship;;;;;;;;;;;;;;;;;;;;;
Turkana;146;2;chase away strangers;morality;morality;morality;morality;0;morality;0;inhospitality;kindness.n;;;;;;;;;;;;;;;;;;;;;
Turkana;280;2;dislike witchcraft;morality;specific;morality;specific;1;specific;0;witchcraft;witching;;;;;;;;;;;;;;;;;;;;;
Turkana;234;2;witchcraft;morality;specific;morality;specific;1;specific;0;witchcraft;witching;;;;;;;;;;;;;;;;;;;;;
Turkana;189;2;dislikes people to smear themselves with ochre;specific;specific;ritual;specific;1;ritual;0;smearing ochre;ochre smearing;;;;;;;;;;;;;;;;;;;;;
Turkana;256;5;dislike envious hearts ;virtue;virtue;virtue;virtue;0;virtue;0;envy;jealousy;;;;;;;;;;;;;;;;;;;;;
Turkana;65;3;dislike people to worship idols ;ritual;ritual;ritual;ritual;0;ritual;0;idolatry;idolatry;;;;;;;;;;;;;;;;;;;;;
Turkana;37;3;dislike people to participate in devil worshipping;ritual;ritual;ritual;ritual;0;ritual;0;idolatry;idolatry;;;;;;;;;;;;;;;;;;;;;
Turkana;227;2;dislike people to perform rituals ;ritual;ritual;ritual;ritual;0;ritual;0;idolatry;rituals;;;;;;;;;;;;;;;;;;;;;
Turkana;87;4;dislike people who disrespect poor people ;morality;morality;morality;morality;0;morality;0;disrespect;respect;;;;;;;;;;;;;;;;;;;;;
Turkana;271;2;dislikes witchcraft;morality;specific;morality;specific;1;specific;0;witchcraft;witching;;;;;;;;;;;;;;;;;;;;;
Turkana;274;1;dislike people who are murderers;morality;morality;morality;morality;0;morality;0;killing;murder;;;;;;;;;;;;;;;;;;;;;
Turkana;53;2;Dislikes witch craft;morality;specific;morality;specific;1;specific;0;witchcraft;witching;;;;;;;;;;;;;;;;;;;;;
Turkana;151;3;worshipping other gods;ritual;ritual;ritual;ritual;0;ritual;0;idolatry;idolatry;;;;;;;;;;;;;;;;;;;;;
Turkana;297;1;dislike people to fight ;morality;morality;morality;morality;0;morality;0;violence;violence;;;;;;;;;;;;;;;;;;;;;
Turkana;189;1;dislikes people to go and do rituals;ritual;ritual;ritual;ritual;0;ritual;0;idolatry;rituals.n;;;;;;;;;;;;;;;;;;;;;
Turkana;321;4;shedding people blood through fighting;morality;morality;morality;morality;0;morality;0;violence;murder;;;;;;;;;;;;;;;;;;;;;
Turkana;157;1;dislike gossiping;morality;etiquette;morality;etiquette;1;morality;0;gossip;gossip;;;;;;;;;;;;;;;;;;;;;
Turkana;66;1;fighting;morality;morality;morality;morality;0;morality;0;violence;violence;;;;;;;;;;;;;;;;;;;;;
Turkana;248;5;evil doers;morality;morality;morality;morality;0;morality;0;immoral behaviour;mistreating others;;;;;;;;;;;;;;;;;;;;;
Turkana;67;3;dislike quarreling ;morality;morality;morality;morality;0;morality;0;arguing;quarrel;;;;;;;;;;;;;;;;;;;;;
Turkana;234;1;somebody to be arrogant;virtue;virtue;virtue;virtue;0;virtue;0;arrogance;arrogance;;;;;;;;;;;;;;;;;;;;;
Turkana;37;2;dislike people to worship local God ;ritual;ritual;ritual;ritual;0;ritual;0;idolatry;idolatry;;;;;;;;;;;;;;;;;;;;;
Turkana;334;3;selfishness;morality;virtue;morality;virtue;1;virtue;0;selfish;egoism;;;;;;;;;;;;;;;;;;;;;
Turkana;71;2;dislike fighters;morality;morality;morality;morality;0;morality;0;violence;violence;;;;;;;;;;;;;;;;;;;;;
Turkana;87;3;dislike murder;morality;morality;morality;morality;0;morality;0;killing;murder;;;;;;;;;;;;;;;;;;;;;
Turkana;257;3;dislike arrogancy ;virtue;virtue;virtue;virtue;0;virtue;0;arrogance;arrogance;;;;;;;;;;;;;;;;;;;;;
Turkana;103;5;dislike gossip ;morality;etiquette;morality;etiquette;1;morality;0;gossip;gossip;;;;;;;;;;;;;;;;;;;;;
Turkana;10;3;dislike people who are idol worshippers ;ritual;ritual;ritual;ritual;0;ritual;0;idolatry;idolatry;;;;;;;;;;;;;;;;;;;;;
Turkana;329;3;murderer;morality;morality;morality;morality;0;morality;0;killing;murder;;;;;;;;;;;;;;;;;;;;;
Turkana;247;3;stealing;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Turkana;83;5;stealing ;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Turkana;263;4;killing  innocent people;morality;morality;morality;morality;0;morality;0;killing;murder;;;;;;;;;;;;;;;;;;;;;
Turkana;277;4;dislike rape cases;morality;morality;morality;morality;0;morality;0;raping;rape;;;;;;;;;;;;;;;;;;;;;
Turkana;3;4;dislike fighting ;morality;morality;morality;morality;0;morality;0;violence;violence;;;;;;;;;;;;;;;;;;;;;
Turkana;278;5;dislike the people who bring chaos to the community;morality;people;morality;people;1;people;0;immoral behaviour;chaos;;;;;;;;;;;;;;;;;;;;;
Turkana;65;2;dislike witchcraft ;morality;specific;morality;specific;1;specific;0;witchcraft;witching;;;;;;;;;;;;;;;;;;;;;
Turkana;96;2;stealing others property;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Turkana;44;2;dislike people to be arrogant ;virtue;virtue;virtue;virtue;0;virtue;0;arrogance;arrogance;;;;;;;;;;;;;;;;;;;;;
Turkana;122;4;Dislike shedding others blood;morality;morality;morality;morality;0;morality;0;violence;murder;;;;;;;;;;;;;;;;;;;;;
Turkana;100;5;dislike lying people ;morality;morality;morality;morality;0;morality;0;dishonesty;truthfulness.n;;;;;;;;;;;;;;;;;;;;;
Turkana;247;4;Be -witching others;morality;morality;morality;specific;1;morality;0;bewitching;witching;;;;;;;;;;;;;;;;;;;;;
Turkana;269;4;dislike murder;morality;morality;morality;morality;0;morality;0;killing;murder;;;;;;;;;;;;;;;;;;;;;
Turkana;188;2;dislike witchcraft ;morality;specific;morality;specific;1;specific;0;witchcraft;witching;;;;;;;;;;;;;;;;;;;;;
Turkana;65;5;dislike people to kill others ;morality;morality;morality;morality;0;morality;0;killing;murder;;;;;;;;;;;;;;;;;;;;;
Turkana;87;1;dislike arrogancy ;virtue;virtue;virtue;virtue;0;virtue;0;arrogance;arrogance;;;;;;;;;;;;;;;;;;;;;
Turkana;37;4;dislike people murdering others ;morality;morality;morality;morality;0;morality;0;killing;murder;;;;;;;;;;;;;;;;;;;;;
Turkana;45;4;dislike rape cases;morality;morality;morality;morality;0;morality;0;raping;rape;;;;;;;;;;;;;;;;;;;;;
Turkana;333;1;stealing ;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Turkana;96;3;killing people who are innocent ;morality;morality;morality;morality;0;morality;0;killing;murder;;;;;;;;;;;;;;;;;;;;;
Turkana;256;1;dislike people to abuse elderly ;morality;morality;morality;morality;0;morality;0;mistreatment;mistreating others;;;;;;;;;;;;;;;;;;;;;
Turkana;3;3;dislike gossip;morality;etiquette;morality;etiquette;1;morality;0;gossip;gossip;;;;;;;;;;;;;;;;;;;;;
Turkana;183;3;adultery;morality;morality;morality;morality;0;morality;0;adultery;adultery;;;;;;;;;;;;;;;;;;;;;
Turkana;86;3;stealing ;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Turkana;211;5;bad hearted person ;virtue;virtue;virtue;morality;1;virtue;0;evil;kindness.n;;;;;;;;;;;;;;;;;;;;;
Turkana;44;5;dislike people worship idols ;ritual;ritual;ritual;ritual;0;ritual;0;idolatry;idolatry;;;;;;;;;;;;;;;;;;;;;
Turkana;239;5;dislike adultery ;morality;morality;morality;morality;0;morality;0;adultery;adultery;;;;;;;;;;;;;;;;;;;;;
Turkana;311;3;dislike stealing .;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Turkana;229;2;fighting ;morality;morality;morality;morality;0;morality;0;violence;violence;;;;;;;;;;;;;;;;;;;;;
Turkana;101;5;gossipers;morality;etiquette;morality;etiquette;1;morality;0;gossip;gossip;;;;;;;;;;;;;;;;;;;;;
Turkana;22;4;dislike stealing ;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Turkana;265;3;envious person;virtue;virtue;virtue;virtue;0;virtue;0;envy;jealousy;;;;;;;;;;;;;;;;;;;;;
Turkana;252;2;dislike people fight with others;morality;morality;morality;morality;0;morality;0;violence;violence;;;;;;;;;;;;;;;;;;;;;
Samburu;2400102;1;poor management in your home;people;morality;morality;morality;0;morality;0;immoral behaviour;responsible.n;;;;;;;;;;;;;;;;;;;;;
Turkana;175;2;dislike adultery;morality;morality;morality;morality;0;morality;0;adultery;adultery;;;;;;;;;;;;;;;;;;;;;
Turkana;241;3;dislike gossiping ;morality;etiquette;morality;etiquette;1;morality;0;gossip;gossip;;;;;;;;;;;;;;;;;;;;;
Turkana;259;3;dislike fighters;morality;morality;morality;morality;0;morality;0;violence;violence;;;;;;;;;;;;;;;;;;;;;
Turkana;201;2;dislike people who abuse others ;morality;morality;morality;morality;0;morality;0;mistreatment;mistreating others;;;;;;;;;;;;;;;;;;;;;
Turkana;172;5;people who kills innocent person;morality;morality;morality;morality;0;morality;0;killing;murder;;;;;;;;;;;;;;;;;;;;;
Turkana;274;2;dislike peoplewho are  drunkards;substance use/abuse;substance use;substance use/abuse;substance use/abuse;0;substance use/abuse;0;drunkenness;alcohol;;;;;;;;;;;;;;;;;;;;;
Turkana;231;3;dislike raping children and women ;morality;morality;morality;morality;0;morality;0;raping;rape;;;;;;;;;;;;;;;;;;;;;
Turkana;44;3;dislike people to become witchcraft;morality;specific;morality;specific;1;specific;0;bewitching;witching;;;;;;;;;;;;;;;;;;;;;
Turkana;180;2;dislike people who steal;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Turkana;92;1;killing innocent people ;morality;morality;morality;morality;0;morality;0;killing;murder;;;;;;;;;;;;;;;;;;;;;
Turkana;239;4;dislike people to beat young children ;morality;morality;morality;morality;0;morality;0;violence;violence;;;;;;;;;;;;;;;;;;;;;
Turkana;152;1;dislike curses ;morality;etiquette;morality;etiquette;1;specific;1;witchcraft;swearing;;;;;;;;;;;;;;;;;;;;;
Turkana;152;4;dislike being envious;virtue;virtue;virtue;virtue;0;virtue;0;envy;jealousy;;;;;;;;;;;;;;;;;;;;;
Turkana;100;4;dislike disrespecting parents ;morality;morality;morality;morality;0;morality;0;disrespecting family;respect.n;;;;;;;;;;;;;;;;;;;;;
Turkana;92;2;dislike curses;morality;etiquette;morality;etiquette;1;specific;1;witchcraft;swearing;;;;;;;;;;;;;;;;;;;;;
Turkana;96;5;be-witching ;morality;specific;morality;specific;1;specific;0;bewitching;witching;;;;;;;;;;;;;;;;;;;;;
Turkana;329;5;witchcraft;morality;specific;morality;specific;1;specific;0;witchcraft;witching;;;;;;;;;;;;;;;;;;;;;
Turkana;152;3;dislike raping ;morality;morality;morality;morality;0;morality;0;raping;rape;;;;;;;;;;;;;;;;;;;;;
Turkana;183;2;shedding  blood from people ;morality;morality;morality;morality;0;morality;0;violence;murder;;;;;;;;;;;;;;;;;;;;;
Turkana;244;5;Be -witching others;morality;morality;morality;specific;1;morality;0;bewitching;witching;;;;;;;;;;;;;;;;;;;;;
Turkana;44;4;dislike drunkardness ;substance use/abuse;substance use;substance use/abuse;substance use/abuse;0;substance use/abuse;0;drunkenness;alcohol;;;;;;;;;;;;;;;;;;;;;
Turkana;190;3;be-witching ;morality;specific;morality;specific;1;specific;0;bewitching;witching;;;;;;;;;;;;;;;;;;;;;
Turkana;24;3;dislike adultery;morality;morality;morality;morality;0;morality;0;adultery;adultery;;;;;;;;;;;;;;;;;;;;;
Turkana;263;3;be-witching ;morality;specific;morality;specific;1;specific;0;bewitching;witching;;;;;;;;;;;;;;;;;;;;;
Turkana;237;1;dislike stealing ;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Turkana;3;5;dislike quarrelling ;morality;morality;morality;morality;0;morality;0;arguing;quarrel;;;;;;;;;;;;;;;;;;;;;
Turkana;229;3;gossiping ;morality;etiquette;morality;etiquette;1;morality;0;gossip;gossip;;;;;;;;;;;;;;;;;;;;;
Turkana;24;4;dislike rapists;morality;morality;morality;morality;0;morality;0;raping;rape;;;;;;;;;;;;;;;;;;;;;
Turkana;166;1;murdering people;morality;morality;morality;morality;0;morality;0;killing;murder;;;;;;;;;;;;;;;;;;;;;
Turkana;179;1;be-witching ;morality;specific;morality;specific;1;specific;0;bewitching;witching;;;;;;;;;;;;;;;;;;;;;
Turkana;257;2;dislike fighting ;morality;morality;morality;morality;0;morality;0;violence;violence;;;;;;;;;;;;;;;;;;;;;
Turkana;247;1;covet your neighbours property;virtue;morality;virtue;morality;1;virtue;0;envy;jealousy;;;;;;;;;;;;;;;;;;;;;
Turkana;230;2;steals ;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Turkana;219;3;form hatred in our hearts;virtue;virtue;virtue;virtue;0;virtue;0;antagonism;hate;;;;;;;;;;;;;;;;;;;;;
Turkana;319;1;dislike those who shed peoples blood;morality;morality;morality;morality;0;morality;0;violence;murder;;;;;;;;;;;;;;;;;;;;;
Turkana;306;2;gossipping ;morality;etiquette;morality;etiquette;1;morality;0;gossip;gossip;;;;;;;;;;;;;;;;;;;;;
Turkana;172;2;dislikes people who steal other peoples properties;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Turkana;282;2;be-witching;morality;specific;morality;specific;1;specific;0;bewitching;witching;;;;;;;;;;;;;;;;;;;;;
Turkana;48;2;Dislikes people who have envy towards others;virtue;morality;virtue;virtue;0;virtue;0;envy;jealousy;;;;;;;;;;;;;;;;;;;;;
Turkana;265;1;adultery;morality;morality;morality;morality;0;morality;0;adultery;adultery;;;;;;;;;;;;;;;;;;;;;
Turkana;298;1;dislike non-repentants;virtue;morality;virtue;morality;1;virtue;0;repentance.n;repent;;;;;;;;;;;;;;;;;;;;;
Turkana;302;1;going to  witchdoctor for ochre smearing ;specific;specific;ritual;specific;1;specific;0;smearing ochre;ochre smearing;;;;;;;;;;;;;;;;;;;;;
Turkana;307;3;adultery;morality;morality;morality;morality;0;morality;0;adultery;adultery;;;;;;;;;;;;;;;;;;;;;
Turkana;129;2;if not respecting parents ;morality;morality;morality;morality;0;morality;0;disrespecting family;respect.n;;;;;;;;;;;;;;;;;;;;;
Turkana;43;3;fighting ;morality;morality;morality;morality;0;morality;0;violence;violence;;;;;;;;;;;;;;;;;;;;;
Turkana;85;2;dislike selfishness ;morality;virtue;morality;virtue;1;virtue;0;selfish;egoism;;;;;;;;;;;;;;;;;;;;;
Turkana;83;4;be-witching ;morality;specific;morality;specific;1;specific;0;bewitching;witching;;;;;;;;;;;;;;;;;;;;;
Turkana;206;1;dislike people who have bad notion towards somebody;virtue;morality;virtue;morality;1;virtue;0;antagonism;unity.n;;;;;;;;;;;;;;;;;;;;;
Turkana;62;2;dislike people abuses elderly people ;morality;morality;morality;morality;0;morality;0;mistreatment;mistreating others;;;;;;;;;;;;;;;;;;;;;
Turkana;264;1;dislike cruel people ;morality;morality;morality;morality;0;morality;0;evil;mistreating others;;;;;;;;;;;;;;;;;;;;;
Turkana;37;5;dislike envious hearts ;virtue;virtue;virtue;virtue;0;virtue;0;envy;jealousy;;;;;;;;;;;;;;;;;;;;;
Turkana;166;2;stealing ;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Turkana;110;3;be-witching ;morality;specific;morality;specific;1;specific;0;bewitching;witching;;;;;;;;;;;;;;;;;;;;;
Turkana;281;1;Abuse and not respecting  your parents;morality;morality;morality;morality;0;morality;0;disrespecting family;respect.n;;;;;;;;;;;;;;;;;;;;;
Turkana;100;2;dislike killing people ;morality;morality;morality;morality;0;morality;0;killing;murder;;;;;;;;;;;;;;;;;;;;;
Turkana;327;1;dislike  people who mistreat other people ;morality;morality;morality;morality;0;morality;0;mistreatment;mistreating others;;;;;;;;;;;;;;;;;;;;;
Turkana;19;3;envious ;virtue;virtue;virtue;virtue;0;virtue;0;envy;jealousy;;;;;;;;;;;;;;;;;;;;;
Turkana;68;4;covet other people's properties;virtue;morality;virtue;morality;1;virtue;0;envy;jealousy;;;;;;;;;;;;;;;;;;;;;
Turkana;9;2;dislike people who commit adultery;morality;morality;morality;morality;0;morality;0;adultery;adultery;;;;;;;;;;;;;;;;;;;;;
Turkana;193;2;dislike gossipers ;morality;etiquette;morality;etiquette;1;morality;0;gossip;gossip;;;;;;;;;;;;;;;;;;;;;
Turkana;45;5;dislike criminals;morality;morality;morality;morality;0;morality;0;crime;criminality;;;;;;;;;;;;;;;;;;;;;
Turkana;190;2;gossiping ;morality;etiquette;morality;etiquette;1;morality;0;gossip;gossip;;;;;;;;;;;;;;;;;;;;;
Turkana;330;2;quarreling with  people;morality;morality;morality;morality;0;morality;0;arguing;quarrel;;;;;;;;;;;;;;;;;;;;;
Turkana;86;1;envy ;virtue;virtue;virtue;virtue;0;virtue;0;envy;jealousy;;;;;;;;;;;;;;;;;;;;;
Turkana;121;1;stealing;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Turkana;263;2;stealing ;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Turkana;229;1;stealing ;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Turkana;239;1;dislike people to fight others whenever they take alcohol ;morality;morality;morality;morality;0;morality;0;violence;violence;;;;;;;;;;;;;;;;;;;;;
Turkana;250;5;dislike selfishness;morality;virtue;morality;virtue;1;virtue;0;selfish;egoism;;;;;;;;;;;;;;;;;;;;;
Turkana;99;2;dislike local God doings ;religion;specific;religion;specific;1;religion;0;idolatry;competition;;;;;;;;;;;;;;;;;;;;;
Turkana;300;1;dislike people who commit aadultery;morality;morality;morality;morality;0;morality;0;adultery;adultery;;;;;;;;;;;;;;;;;;;;;
Samburu;2080102;3;if you do bad things;morality;morality;morality;morality;0;morality;0;immoral behaviour;good actions.n;;;;;;;;;;;;;;;;;;;;;
Turkana;101;4;stealing;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Turkana;274;5;dislike witchcraft;morality;specific;morality;specific;1;specific;0;witchcraft;witching;;;;;;;;;;;;;;;;;;;;;
Turkana;32;2;Dislikes a snake;miscellaneous;specific;specific;specific;0;specific;0;snake;snakes;;;;;;;;;;;;;;;;;;;;;
Turkana;152;2;dislike witchcraft ;morality;specific;morality;specific;1;specific;0;witchcraft;witching;;;;;;;;;;;;;;;;;;;;;
Turkana;22;3;dislike arrogancy;virtue;virtue;virtue;virtue;0;virtue;0;arrogance;arrogance;;;;;;;;;;;;;;;;;;;;;
Turkana;188;4;dislike people treat strangers badly ;morality;morality;morality;morality;0;morality;0;inhospitality;mistreating others;;;;;;;;;;;;;;;;;;;;;
